CD,Incumbent,Party,Biden2020,Trump2020,Clinton2016,Trump2016,Obama2012,Romney2012
FL-14,Kathy Castor,(D),57.2,41.6,57.2,39.0,57.6,41.2
FL-15,Scott Franklin,(R),45.2,53.7,43.1,53.1,46.6,52.2
FL-16,Vern Buchanan,(R),45.5,53.6,43.0,53.7,45.1,53.7
FL-17,Greg Steube,(R),35.9,63.3,35.0,62.2,41.3,57.6
FL-18,Brian Mast,(R),45.5,53.9,44.1,53.3,47.7,51.4
FL-19,Byron Donalds,(R),39.6,59.7,37.5,59.6,38.7,60.5
FL-20,[VACANT],(D),77.3,22.1,80.2,18.1,82.5,17.1
FL-21,Lois Frankel,(D),58.2,41.2,58.6,39.1,60.4,38.9
FL-22,Ted Deutch,(D),57.2,42.3,56.8,41.0,56.3,43.0
FL-23,Debbie Wasserman Schultz,(D),58.3,41.2,61.9,35.8,61.4,38.0
FL-24,Frederica Wilson,(D),75.4,24.0,82.9,15.4,85.7,13.9
FL-25,Mario Díaz-Balart,(R),38.2,61.2,47.9,49.7,44.9,54.5
FL-26,Carlos Giménez,(R),46.9,52.5,56.8,40.5,55.4,43.9
FL-27,Maria Elvira Salazar,(R),51.3,48.1,58.5,38.9,53.0,46.3
GA-01,Buddy Carter,(R),43.1,55.5,40.9,56.4,43.0,55.9
GA-02,Sanford Bishop,(D),55.7,43.4,55.0,43.3,58.6,40.8
GA-03,Drew Ferguson,(R),36.8,62.0,32.8,64.3,33.0,65.9
GA-04,Hank Johnson,(D),78.8,20.2,75.3,22.2,73.6,25.6
GA-05,Nikema Williams,(D),86.2,12.7,85.0,11.9,83.1,15.8
GA-06,Lucy McBath,(D),54.8,43.7,46.8,48.3,37.5,60.8
GA-07,Carolyn Bourdeaux,(D),52.4,46.1,44.8,51.1,38.3,60.2
GA-08,Austin Scott,(R),37.0,62.0,34.4,63.3,37.5,61.6
GA-09,Andrew Clyde,(R),22.4,76.4,19.3,77.8,20.5,78.1
GA-10,Jody Hice,(R),39.2,59.6,35.8,61.3,36.3,62.5
GA-11,Barry Loudermilk,(R),41.5,56.9,35.3,60.3,31.5,66.9
GA-12,Rick Allen,(R),43.0,55.8,40.7,56.9,43.6,55.4
GA-13,David Scott,(D),75.6,23.4,71.0,26.6,69.2,30.0
GA-14,Marjorie Greene,(R),25.3,73.4,22.1,75.0,25.3,73.2
HI-01,Ed Case,(D),63.8,34.5,63.1,30.5,69.7,29.0
HI-02,Kai Kahele,(D),63.6,34.1,61.4,29.6,71.4,26.7
IA-01,Ashley Hinson,(R),47.4,50.8,45.2,48.7,56.2,42.5
IA-02,Mariannette Miller-Meeks,(R),47.1,51.1,45.0,49.1,55.8,42.7
IA-03,Cindy Axne,(D),49.0,49.2,45.0,48.5,51.4,47.2
IA-04,Randy Feenstra,(R),35.7,62.7,33.5,60.9,45.3,53.4
ID-01,Russ Fulcher,(R),30.1,67.1,25.4,63.7,32.2,64.9
ID-02,Mike Simpson,(R),36.6,60.1,29.8,54.5,33.1,64.1
IL-01,Bobby Rush,(D),73.9,24.7,75.4,21.4,78.9,20.2
IL-02,Robin Kelly,(D),77.5,21.2,78.0,19.1,80.7,18.5
IL-03,Marie Newman,(D),55.5,42.9,55.2,39.9,55.9,42.6
IL-04,Chuy Garcia,(D),80.7,17.3,82.1,13.2,80.9,17.1
IL-05,Mike Quigley,(D),72.1,26.0,70.5,23.9,66.0,31.8
IL-06,Sean Casten,(D),55.3,42.6,50.2,43.2,45.1,53.3
IL-07,Danny Davis,(D),86.3,12.1,87.4,9.2,87.2,11.8
IL-08,Raja Krishnamoorthi,(D),59.2,39.0,58.1,36.4,57.4,40.9
IL-09,Jan Schakowsky,(D),71.0,27.4,70.1,24.9,65.0,33.3
IL-10,Brad Schneider,(D),64.3,34.0,62.0,32.6,57.5,41.1
IL-11,Bill Foster,(D),61.9,36.2,58.9,35.4,57.8,40.6
IL-12,Mike Bost,(R),41.9,56.1,40.2,55.0,49.7,48.1
IL-13,Rodney Davis,(R),47.0,50.5,44.2,49.7,48.6,48.9
IL-14,Lauren Underwood,(D),50.2,47.8,44.8,48.7,44.2,54.2
IL-15,Mary Miller,(R),25.9,72.2,24.5,70.7,34.1,63.9
IL-16,Adam Kinzinger,(R),40.9,56.9,38.3,55.5,45.2,52.9
IL-17,Cheri Bustos,(D),48.1,49.7,46.7,47.4,57.6,40.6
IL-18,Darin LaHood,(R),36.8,61.0,33.3,60.6,37.4,60.7
IN-01,Frank Mrvan,(D),53.6,44.8,54.1,41.5,61.2,37.4
IN-02,Jackie Walorski,(R),38.9,59.4,36.1,59.3,42.1,56.1
IN-03,Jim Banks,(R),34.0,63.9,30.1,65.1,35.7,62.5
IN-04,Jim Baird,(R),34.0,63.8,30.2,64.3,36.9,60.9
IN-05,Victoria Spartz,(R),47.9,50.1,41.3,53.1,40.7,57.5
IN-06,Greg Pence,(R),29.1,68.8,27.4,67.7,37.3,60.4
IN-07,André Carson,(D),62.9,35.3,59.0,36.2,62.9,35.3
IN-08,Larry Bucshon,(R),33.1,65.1,30.9,64.6,39.6,58.4
IN-09,Trey Hollingsworth,(R),37.2,60.8,34.2,61.1,40.7,57.2
KS-01,Tracey Mann,(R),28.1,69.7,24.3,69.3,27.6,70.1
KS-02,Jake LaTurner,(R),41.3,56.3,37.4,55.8,42.2,55.4
KS-03,Sharice Davids,(D),54.3,43.7,47.2,46.0,44.3,53.8
KS-04,Ron Estes,(R),38.0,59.7,33.0,60.2,36.1,61.6
KY-01,James Comer,(R),25.5,73.1,23.9,72.4,32.1,66.4
KY-02,Brett Guthrie,(R),30.6,67.6,27.6,67.5,35.1,63.3
KY-03,John Yarmuth,(D),60.0,38.1,54.9,39.9,55.7,42.8
KY-04,Thomas Massie,(R),33.4,64.8,29.3,65.2,34.8,63.4
KY-05,Hal Rogers,(R),18.6,80.2,17.5,79.6,23.2,75.0
KY-06,Andy Barr,(R),44.5,53.6,39.4,54.7,42.2,55.8
LA-01,Steve Scalise,(R),30.1,68.0,26.7,68.7,26.9,70.9
LA-02,Troy Carter,(D),75.3,23.0,74.6,22.2,75.8,22.8
LA-03,Clay Higgins,(R),30.2,68.1,29.2,67.3,32.3,66.1
LA-04,Mike Johnson,(R),37.0,61.5,36.6,60.6,39.7,59.0
LA-05,Julia Letlow,(R),34.1,64.5,34.1,63.5,37.7,61.0
LA-06,Garret Graves,(R),34.4,63.8,31.0,64.8,32.0,66.1
MA-01,Richard Neal,(D),61.1,36.9,57.2,36.5,64.0,34.3
MA-02,Jim McGovern,(D),61.8,36.0,56.2,36.8,58.7,39.2
MA-03,Lori Trahan,(D),63.4,34.6,58.2,35.4,56.9,41.4
MA-04,Jake Auchincloss,(D),64.5,33.7,59.2,35.0,57.2,41.3
MA-05,Katherine Clark,(D),74.5,23.9,69.3,25.7,65.2,33.1
MA-06,Seth Moulton,(D),62.6,35.6,56.1,38.2,54.7,43.9
MA-07,Ayanna Pressley,(D),85.3,13.3,84.1,11.9,82.5,15.6
MA-08,Stephen Lynch,(D),66.2,32.2,60.4,34.4,57.8,40.8
MA-09,Bill Keating,(D),57.9,40.3,52.5,41.8,55.5,43.1
MD-01,Andy Harris,(R),39.1,58.8,33.4,62.0,37.7,60.4
MD-02,Dutch Ruppersberger,(D),65.8,32.4,60.1,35.7,63.1,35.0
MD-03,John Sarbanes,(D),68.7,29.4,62.8,32.3,60.7,37.1
MD-04,Anthony Brown,(D),79.1,19.2,77.2,19.7,78.1,20.8
MD-05,Steny Hoyer,(D),68.6,29.7,64.1,32.1,66.1,32.4
MD-06,David Trone,(D),60.6,37.5,55.3,40.2,55.2,42.8
MD-07,Kweisi Mfume,(D),78.4,20.0,75.8,20.2,76.2,22.3
MD-08,Jamie Raskin,(D),69.3,28.9,65.0,30.6,62.0,36.0
ME-01,Chellie Pingree,(D),60.1,37.0,54.1,39.3,59.6,38.2
ME-02,Jared Golden,(D),44.8,52.3,41.1,51.4,53.0,44.4
MI-01,Jack Bergman,(R),40.6,57.9,36.6,57.9,45.3,53.6
MI-02,Bill Huizenga,(R),43.2,55.0,38.2,55.8,43.1,56.0
MI-03,Peter Meijer,(R),47.4,50.7,42.2,51.6,45.8,53.1
MI-04,John Moolenaar,(R),37.2,61.1,34.7,59.5,45.5,53.5
MI-05,Dan Kildee,(D),51.4,47.1,49.7,45.5,60.7,38.3
MI-06,Fred Upton,(R),46.8,51.3,42.9,51.3,48.8,50.2
MI-07,Tim Walberg,(R),41.6,56.7,38.7,55.7,47.9,51.0
MI-08,Elissa Slotkin,(D),48.8,49.6,43.9,50.6,48.0,51.1
MI-09,Andy Levin,(D),55.9,42.7,51.5,43.7,57.2,41.9
MI-10,Lisa McClain,(R),34.4,64.2,31.6,63.8,43.7,55.3
MI-11,Haley Stevens,(D),51.6,47.1,45.3,49.7,46.9,52.3
MI-12,Debbie Dingell,(D),64.2,34.4,60.8,34.5,66.2,32.8
MI-13,Rashida Tlaib,(D),78.8,20.0,78.8,18.1,85.2,14.3
MI-14,Brenda Lawrence,(D),79.5,19.6,79.2,18.3,81.0,18.6
MN-01,Jim Hagedorn,(R),43.9,54.0,38.4,53.3,49.6,48.2
MN-02,Angie Craig,(D),52.4,45.5,45.3,46.5,49.1,49.0
MN-03,Dean Phillips,(D),58.7,39.4,50.8,41.4,49.6,48.8
MN-04,Betty McCollum,(D),67.6,30.5,61.5,30.6,62.5,35.5
MN-05,Ilhan Omar,(D),80.3,17.7,73.7,18.5,73.5,24.0
MN-06,Tom Emmer,(R),38.8,59.0,33.2,58.9,41.5,56.5
MN-07,Michelle Fischbach,(R),34.4,63.8,31.0,61.8,44.1,53.9
MN-08,Pete Stauber,(R),41.7,56.3,38.6,54.2,51.7,46.2
MO-01,Cori Bush,(D),80.3,18.1,77.0,18.8,79.9,18.9
MO-02,Ann Wagner,(R),49.2,49.2,42.3,52.6,41.4,57.1
MO-03,Blaine Luetkemeyer,(R),31.3,66.9,28.1,67.1,36.1,62.0
MO-04,Vicky Hartzler,(R),31.9,66.0,29.3,65.3,36.4,61.2
MO-05,Emanuel Cleaver,(D),58.4,39.6,54.1,40.6,58.9,39.4
MO-06,Sam Graves,(R),35.0,63.3,31.7,63.1,37.9,60.0
MO-07,Billy Long,(R),28.1,70.0,24.7,70.4,30.3,67.6
MO-08,Jason Smith,(R),21.4,77.3,21.0,75.4,32.0,65.9
MS-01,Trent Kelly,(R),33.8,64.8,32.4,65.4,37.0,61.9
MS-02,Bennie Thompson,(D),63.7,35.2,63.6,35.1,66.4,33.0
MS-03,Michael Guest,(R),38.6,60.1,36.8,61.3,39.1,60.0
MS-04,Steven Palazzo,(R),30.3,68.3,28.2,69.4,31.2,67.6
MT-AL,Matt Rosendale,(R),40.6,56.9,35.9,56.5,41.7,55.4
NC-01,G.K. Butterfield,(D),53.9,45.3,54.7,43.6,57.1,42.4
NC-02,Deborah Ross,(D),64.3,34.0,60.3,35.9,57.0,41.7
NC-03,Greg Murphy,(R),37.7,60.9,36.5,61.0,40.5,58.6
NC-04,David Price,(D),66.6,32.2,65.2,31.9,63.2,35.7
NC-05,Virginia Foxx,(R),31.6,67.4,30.3,67.2,35.6,63.1
NC-06,Kathy Manning,(D),61.6,37.2,59.4,37.9,58.4,40.7
NC-07,David Rouzer,(R),40.7,58.1,38.7,58.6,41.9,57.2
NC-08,Richard Hudson,(R),46.1,52.5,44.1,53.2,47.3,51.8
NC-09,Dan Bishop,(R),45.5,53.4,43.3,53.7,44.2,54.9
NC-10,Patrick McHenry,(R),31.2,67.7,29.6,67.8,34.1,64.9
NC-11,Madison Cawthorn,(R),43.3,55.4,39.9,57.2,43.5,55.2
NC-12,Alma Adams,(D),70.1,28.5,67.3,29.5,66.5,32.6
NC-13,Ted Budd,(R),31.8,67.1,30.6,67.0,34.3,64.7
ND-AL,Kelly Armstrong,(R),31.9,65.5,27.7,64.1,38.9,58.7
NE-01,Jeff Fortenberry,(R),41.3,56.3,36.2,57.5,40.8,57.5
NE-02,Don Bacon,(R),52.3,45.7,46.0,48.2,45.7,52.8
NE-03,Adrian Smith,(R),22.4,75.6,20.0,74.9,27.8,70.2
NH-01,Chris Pappas,(D),52.2,46.2,46.6,48.2,50.2,48.6
NH-02,Annie Kuster,(D),53.5,44.8,48.6,46.2,54.2,44.5
NJ-01,Donald Norcross,(D),62.1,36.6,60.6,36.1,65.1,33.8
NJ-02,Jeff Van Drew,(R),47.9,50.8,46.0,50.6,53.5,45.4
NJ-03,Andy Kim,(D),49.2,49.4,45.2,51.4,51.8,47.2
NJ-04,Chris Smith,(R),44.1,54.6,41.0,55.8,44.7,54.2
NJ-05,Josh Gottheimer,(D),51.9,46.7,47.7,48.8,47.9,50.9
NJ-06,Frank Pallone,(D),57.2,41.5,56.2,40.6,61.4,37.4
NJ-07,Tom Malinowski,(D),54.2,44.3,48.6,47.5,46.3,52.5
NJ-08,Albio Sires,(D),73.1,25.9,75.7,21.5,78.3,20.8
NJ-09,Bill Pascrell,(D),62.2,36.8,64.3,33.1,68.4,30.8
NJ-10,Donald Payne,(D),82.8,16.4,85.2,12.8,87.9,11.5
NJ-11,Mikie Sherrill,(D),52.9,45.8,47.9,48.8,46.6,52.4
NJ-12,Bonnie Watson Coleman,(D),67.3,31.4,65.0,31.8,66.5,32.4
NM-01,[VACANT],(D),60.2,37.4,51.6,35.1,55.3,39.6
NM-02,Yvette Herrell,(R),43.1,54.9,39.9,50.1,44.9,51.7
NM-03,Teresa Leger Fernandez,(D),57.7,40.1,51.8,36.7,57.5,38.7
NV-01,Dina Titus,(D),61.5,36.4,61.6,32.6,65.6,32.4
NV-02,Mark Amodei,(R),43.6,53.6,39.7,52.0,44.8,52.9
NV-03,Susie Lee,(D),49.2,49.0,46.5,47.5,49.5,48.7
NV-04,Steven Horsford,(D),50.9,47.0,49.5,44.6,54.4,43.7
NY-01,Lee Zeldin,(R),47.3,51.5,42.2,54.5,49.6,49.1
NY-02,Andrew Garbarino,(R),47.4,51.4,43.9,53.0,51.6,47.2
NY-03,Tom Suozzi,(D),54.7,44.3,51.6,45.5,50.8,48.2
NY-04,Kathleen Rice,(D),55.6,43.4,53.4,43.8,56.3,42.8
NY-05,Gregory Meeks,(D),83.3,16.2,85.7,12.7,90.6,9.1
NY-06,Grace Meng,(D),61.8,37.4,65.1,32.1,67.8,31.0
NY-07,Nydia Velázquez,(D),81.8,17.3,86.9,10.4,88.4,10.3
NY-08,Hakeem Jeffries,(D),82.9,16.5,84.6,13.5,89.3,10.1
NY-09,Yvette Clarke,(D),81.4,17.8,83.5,14.4,85.3,13.8
NY-10,Jerry Nadler,(D),76.1,22.9,78.3,18.8,73.6,25.0
NY-11,Nicole Malliotakis,(R),44.3,54.8,43.8,53.6,51.6,47.3
NY-12,Carolyn Maloney,(D),84.1,14.8,83.3,13.5,76.9,21.5
NY-13,Adriano Espaillat,(D),88.1,11.1,92.3,5.4,94.6,4.6
NY-14,Alexandria Ocasio-Cortez,(D),73.3,25.9,77.7,19.8,80.7,18.3
NY-15,Ritchie Torres,(D),86.4,13.0,93.8,4.9,96.7,3.0
NY-16,Jamaal Bowman,(D),75.3,23.8,75.1,22.5,73.7,25.5
NY-17,Mondaire Jones,(D),59.6,39.4,58.6,38.4,57.1,41.8
NY-18,Sean Patrick Maloney,(D),51.8,46.8,47.1,49.0,51.4,47.1
NY-19,Antonio Delgado,(D),49.8,48.3,44.0,50.8,52.1,45.9
NY-20,Paul Tonko,(D),59.3,38.7,54.0,40.5,59.2,38.8
NY-21,Elise Stefanik,(R),43.8,54.2,40.0,53.9,52.2,46.1
NY-22,Claudia Tenney,(R),43.2,54.7,39.3,54.8,48.8,49.2
NY-23,Tom Reed,(R),43.3,54.5,39.7,54.5,48.4,49.6
NY-24,John Katko,(R),53.4,44.4,48.9,45.3,57.0,41.1
NY-25,Joe Morelle,(D),60.1,37.8,55.5,39.1,58.8,39.4
NY-26,Brian Higgins,(D),62.6,35.6,57.6,38.0,63.9,34.3
NY-27,Chris Jacobs,(R),41.1,56.8,35.2,59.7,42.9,55.3
OH-01,Steve Chabot,(R),47.7,50.9,44.6,51.2,46.3,52.4
OH-02,Brad Wenstrup,(R),42.9,55.6,39.7,55.8,43.7,54.7
OH-03,Joyce Beatty,(D),70.0,28.4,67.0,28.6,69.7,28.9
OH-04,Jim Jordan,(R),31.2,67.1,30.7,64.3,42.0,56.0
OH-05,Bob Latta,(R),36.7,61.6,34.6,59.7,44.1,53.9
OH-06,Bill Johnson,(R),26.5,72.2,26.7,69.3,42.7,55.2
OH-07,Bob Gibbs,(R),33.2,65.3,32.8,62.5,44.2,53.7
OH-08,Warren Davidson,(R),32.5,66.0,30.6,65.1,36.4,61.9
OH-09,Marcy Kaptur,(D),58.8,39.7,58.7,36.5,67.6,30.9
OH-10,Mike Turner,(R),47.0,51.4,44.0,51.3,48.2,50.1
OH-11,[VACANT],(D),79.8,19.2,80.5,17.0,82.7,16.5
OH-12,Troy Balderson,(R),46.3,52.2,41.9,53.2,43.9,54.4
OH-13,Tim Ryan,(D),51.0,47.6,51.1,44.6,62.9,35.4
OH-14,David Joyce,(R),44.9,53.9,42.1,53.6,47.6,50.9
OH-15,Steve Stivers,(R),42.2,56.3,39.9,55.3,46.3,51.9
OH-16,Anthony Gonzalez,(R),42.2,56.5,39.5,56.2,45.2,53.4
OK-01,Kevin Hern,(R),37.3,60.1,32.7,61.4,34.2,65.8
OK-02,Markwayne Mullin,(R),22.2,76.1,22.8,72.9,32.2,67.8
OK-03,Frank Lucas,(R),23.2,74.6,20.9,73.6,26.1,73.9
OK-04,Tom Cole,(R),32.0,65.6,28.3,65.7,32.9,67.1
OK-05,Stephanie Bice,(R),46.0,51.4,39.8,53.2,40.8,59.2
OR-01,Suzanne Bonamici,(D),63.3,34.1,57.3,34.5,57.3,40.0
OR-02,Cliff Bentz,(R),42.1,55.6,36.4,56.5,40.5,56.8
OR-03,Earl Blumenauer,(D),74.3,23.5,70.7,22.5,72.0,24.7
OR-04,Peter DeFazio,(D),50.7,46.7,46.1,46.0,51.7,45.0
OR-05,Kurt Schrader,(D),53.6,43.9,48.3,44.1,50.5,47.1
PA-01,Brian Fitzpatrick,(R),52.4,46.6,49.1,47.1,50.2,48.6
PA-02,Brendan Boyle,(D),70.1,29.1,72.9,24.9,77.4,21.8
PA-03,Dwight Evans,(D),91.3,8.1,90.9,7.0,91.7,7.6
PA-04,Madeleine Dean,(D),61.5,37.4,57.8,38.5,56.1,42.8
PA-05,Mary Gay Scanlon,(D),65.1,34.0,62.6,34.4,63.4,35.7
PA-06,Chrissy Houlahan,(D),56.9,41.9,52.6,43.3,51.0,47.8
PA-07,Susan Wild,(D),51.8,47.0,48.7,47.6,52.9,45.9
PA-08,Matt Cartwright,(D),47.3,51.7,43.7,53.3,55.3,43.4
PA-09,Dan Meuser,(R),34.1,64.5,31.0,65.0,41.2,57.2
PA-10,Scott Perry,(R),47.8,50.7,43.4,52.3,46.0,52.6
PA-11,Lloyd Smucker,(R),38.3,60.2,34.7,60.5,38.0,60.5
PA-12,Fred Keller,(R),31.2,67.3,29.7,66.1,36.8,61.5
PA-13,John Joyce,(R),27.2,71.6,25.5,71.2,32.1,66.6
PA-14,Guy Reschenthaler,(R),35.7,63.2,33.9,62.9,40.6,58.3
PA-15,Glenn Thompson,(R),27.5,71.2,26.5,69.8,35.7,62.6
PA-16,Mike Kelly,(R),40.0,58.7,37.9,57.9,46.9,51.7
PA-17,Conor Lamb,(D),50.7,48.0,46.8,49.4,47.2,51.7
PA-18,Mike Doyle,(D),64.5,34.4,62.1,34.6,63.5,35.2
RI-01,David Cicilline,(D),63.9,34.6,60.5,34.9,66.2,32.2
